Name,Price,Market price,Location,Thumbnail,Images,Gear,Other features,Dealer name,Page link,Second Condition,Make,Model,Year of Manufacture,Trim,Body,Drivetrain,Engine Size,Number of Cylinders,Horse Power,Color,Seats,Registered Car,Exchange Possible,VIN Chassis number,Mileage,VIN number
Lexus ES 350 FWD 2014 Gray,"₦ 12,800,000,",₦ 12.56 M ~ 13.2 M,"Lagos, Ikoyi",https://pictures-nigeria.jijistatic.com/89418378_NjIwLTQ2NS0yY2U5NzExMGY4.webp,https://pictures-nigeria.jijistatic.com/89418378_MTExLTgzLTJjZTk3MTEwZjg.webp | https://pictures-nigeria.jijistatic.com/89418353_MTExLTgzLTVmZWNlMzRlOTQ.webp | https://pictures-nigeria.jijistatic.com/89418391_MTExLTgzLTgxNmY2ODJmNGI.webp | https://pictures-nigeria.jijistatic.com/89418365_MTExLTgzLTJlOTAwOTcyZmI.webp | https://pictures-nigeria.jijistatic.com/89418366_MTExLTgzLWRlZjBkOGUxYTM.webp,Automatic,,Lateef Olatunde,https://jiji.ng/ikoyi-obalende/cars/lexus-es-350-fwd-2014-gray-9YIUsHGDEY9i8H3YdXnZrSx8.html,No faults,Lexus,ES,2014,350 FWD,Sedan,Front Wheel,3500           cc,6,268           hp,Gray,5,No,,,,
Mercedes-Benz M Class 2006 Silver,"₦ 9,500,000",₦ 5.92 M ~ 6.25 M,"Rivers, Port-Harcourt",https://pictures-nigeria.jijistatic.com/106141368_NjIwLTQ2NS05NGI4YWQ2MjA0.webp,https://pictures-nigeria.jijistatic.com/106141368_MTExLTgzLTk0YjhhZDYyMDQ.webp | https://pictures-nigeria.jijistatic.com/106141357_MTExLTgzLTEwMWYxMTU4ZjA.webp | https://pictures-nigeria.jijistatic.com/106141377_MTExLTgzLTM5ZTA2YjM5YTM.webp | https://pictures-nigeria.jijistatic.com/106141378_MTExLTgzLTlhZTRmZWRkOTg.webp | https://pictures-nigeria.jijistatic.com/106141374_MTExLTgzLWM5ODgyNzMyMWU.webp,Automatic,,NOVAVA LTD,https://jiji.ng/port-harcourt/cars/mercedes-benz-m-class-2006-silver-kV4NuurCddDLM9jXQ5k2YsKR.html,No faults,Mercedes-Benz,M Class,2006,ML 350 AWD 4Matic (3.5L V6 7A),SUV,All Wheel,3500           cc,6,268           hp,Silver,5,No,,,,
Toyota Sienna 2005 Silver,"₦ 4,400,000",₦ 4.7 M ~ 4.85 M,"Lagos, Isolo",https://pictures-nigeria.jijistatic.com/116353106_NjIwLTQ2NC0xZjhkMjQ4ODM1.webp,https://pictures-nigeria.jijistatic.com/116353106_MTExLTgzLTFmOGQyNDg4MzU.webp | https://pictures-nigeria.jijistatic.com/116353100_MTExLTgzLWRlNmM0N2NhZTU.webp | https://pictures-nigeria.jijistatic.com/116353097_MTExLTgzLTJiYjMxZGYxMTI.webp | https://pictures-nigeria.jijistatic.com/116353098_MTExLTgzLTRmNjcyZmQ0NzY.webp | https://pictures-nigeria.jijistatic.com/116353095_MTExLTgzLTY1YTQxMGQ2ZTE.webp,Automatic,,Judexsilver Autos,https://jiji.ng/isolo/cars/toyota-sienna-2005-silver-sCIfjRR833fhJec2wOU37VN2.html,No faults,Toyota,Sienna,2005,,,,,,,Silver,,,,,,
Toyota Camry 2006 Gray,"₦ 2,250,000",,,https://pictures-nigeria.jijistatic.com/117167011_NjIwLTQ2NS1iM2Y2OTA4NGM1LTE.webp,https://pictures-nigeria.jijistatic.com/117167011_MTExLTgzLWIzZjY5MDg0YzUtMQ.webp | https://pictures-nigeria.jijistatic.com/117167036_MTExLTgzLTQ0MjcyNGRmOTktMQ.webp | https://pictures-nigeria.jijistatic.com/117167028_MTExLTgzLTgxNzY3NGFiZDMtMQ.webp | https://pictures-nigeria.jijistatic.com/117167020_MTExLTgzLTMwZmRiNWU2OWQtMQ.webp | https://pictures-nigeria.jijistatic.com/117166984_MTExLTgzLWI4YmUzMmZkYTItMQ.webp,,,Cars45,https://jiji.ng/owerri-municipal/cars/toyota-camry-2006-gray-k0OdhudryNvDOepLuqd8yw2Q.html,,,,,,,,,,,,,,,,,
Toyota Highlander 2015 Blue,"₦ 13,800,000",₦ 16.26 M ~ 16.5 M,"Lagos, Yaba",https://pictures-nigeria.jijistatic.com/100064068_NjIwLTgyNy03NTY5ZTE0MzMy.webp,https://pictures-nigeria.jijistatic.com/100064068_MTExLTE0OC03NTY5ZTE0MzMy.webp | https://pictures-nigeria.jijistatic.com/100064072_MTExLTE0OC1jZTI5MmU5Mzlj.webp | https://pictures-nigeria.jijistatic.com/100057062_MTExLTE0OC1iN2E1MjNmMjM5.webp | https://pictures-nigeria.jijistatic.com/100057104_MTExLTE0OC01ZDU4OGU0NWFk.webp | https://pictures-nigeria.jijistatic.com/100057154_MTExLTE0OC00YjNmNmVhZDlh.webp,Automatic,,United Express Autos,https://jiji.ng/yaba/cars/toyota-highlander-2015-blue-gmPuky7an97WR1ojQdWeavJI.html,No faults,Toyota,Highlander,2015,Limited 4dr SUV AWD (3.5L 6cyl 6A),SUV,All Wheel,3500           cc,6,270           hp,Blue,7,No,,,,
Toyota RAV4 2014 Red,"₦ 6,850,000",₦ 7.34 M ~ 7.96 M,"Imo, Owerri",https://pictures-nigeria.jijistatic.com/116316627_NjIwLTI3OS0xYmQ5MWIyNzll.webp,https://pictures-nigeria.jijistatic.com/116316627_MTExLTUwLTFiZDkxYjI3OWU.webp | https://pictures-nigeria.jijistatic.com/116316617_MTExLTUwLTlkM2I2YTlkM2I.webp | https://pictures-nigeria.jijistatic.com/116316616_MTExLTI0Ny0wNTVjN2YyMTEz.webp | https://pictures-nigeria.jijistatic.com/116316624_MTExLTI0Ny01ZWEzNDY5OGYw.webp | https://pictures-nigeria.jijistatic.com/116316625_MTExLTUwLTg4NGY4ODIzOTU.webp,Automatic,Air Conditioning | Airbags | Alloy Wheels | CD Player | AM/FM Radio,Chinedu Madububa,https://jiji.ng/owerri-municipal/cars/toyota-rav4-2014-red-rsRXL2rOZDGYOi8vZpFOjCwt.html,"First owner, First registration, Unpainted",Toyota,RAV4,2014,XLE 4dr SUV AWD (2.5L 4cyl 6A),SUV,All Wheel,2500           cc,4,,Red,5,Yes,Yes,,,
Toyota Avalon 2015 Silver,"₦ 6,975,000",,,https://pictures-nigeria.jijistatic.com/117182341_NjIwLTQ2NS03ZmVlNzkwMDc1LTE.webp,https://pictures-nigeria.jijistatic.com/117182341_MTExLTgzLTdmZWU3OTAwNzUtMQ.webp | https://pictures-nigeria.jijistatic.com/117182355_MTExLTgzLWY5NTVmNWVlYzEtMQ.webp | https://pictures-nigeria.jijistatic.com/117182345_MTExLTgzLWRmZTY0OTU5NDUtMQ.webp | https://pictures-nigeria.jijistatic.com/117182344_MTExLTE0OC1jYWRlMzYxNWJmLTE.webp | https://pictures-nigeria.jijistatic.com/117182346_MTExLTgzLWY1ZTlmNmM4ZmYtMQ.webp,,,Cars45,https://jiji.ng/isolo/cars/toyota-avalon-2015-silver-dlvuwBMuBB8G8BeggtBVVzSx.html,,,,,,,,,,,,,,,,,
Toyota Sienna LE AWD 2006 Silver,"₦ 3,250,000,",₦ 2.8 M ~ 3.25 M,"Lagos, Abule Egba",https://pictures-nigeria.jijistatic.com/116854642_NjIwLTQ2NS03OWI1NTJkNjdj.webp,https://pictures-nigeria.jijistatic.com/116854642_MTExLTgzLTc5YjU1MmQ2N2M.webp | https://pictures-nigeria.jijistatic.com/116854638_MTExLTgzLTVkYmM4NzU0OTk.webp | https://pictures-nigeria.jijistatic.com/116854637_MTExLTgzLTViYWU1MmVhOTc.webp | https://pictures-nigeria.jijistatic.com/116854636_MTExLTgzLWI3ZjBjYzI1MGM.webp | https://pictures-nigeria.jijistatic.com/116854639_MTExLTgzLTlmZTJiZWI4NGE.webp,Automatic,,Joshua Adesanya,https://jiji.ng/lagos-abule-egba/cars/toyota-sienna-le-awd-2006-silver-b4V21Vec7yWUwRFl8s6BuDx2.html,No faults,Toyota,Sienna,2006,LE AWD,Minivan,All Wheel,3300           cc,6,215           hp,Silver,7,Yes,,,,
Toyota 4-Runner Limited 2008 Black,"₦ 7,180,000,",₦ 6.85 M ~ 7.35 M,"Lagos, Amuwo-Odofin",https://pictures-nigeria.jijistatic.com/110737660_NjIwLTM0OS1kMGMzOTlkMThm.webp,https://pictures-nigeria.jijistatic.com/110737660_MTExLTYyLWQwYzM5OWQxOGY.webp | https://pictures-nigeria.jijistatic.com/110737657_MTExLTYyLWFmZjBkMzg4ZDk.webp | https://pictures-nigeria.jijistatic.com/110737658_MTExLTYyLWJjNzdhMjYzMGU.webp | https://pictures-nigeria.jijistatic.com/110737659_MTExLTYyLTFiNjBlNDkwOTA.webp | https://pictures-nigeria.jijistatic.com/110737729_MTExLTgzLTQ4YWE1MDQ5M2I.webp,Automatic,Air Conditioning | CD Player | Front Fog Lamps | Roof Rack | Airbags | Leather Seats | AM/FM Radio | Electric Mirrors | Sunroof | Alloy Wheels | Electric Windows,EKESONMOTORS,https://jiji.ng/amuwo-odofin/cars/toyota-4-runner-limited-2008-black-BwyuzKJtFigO7IW7Lwx2rz73.html,"Unpainted, No faults, Original parts",Toyota,4-Runner,2008,Limited,SUV,All Wheel,4000           cc,6,260           hp,Black,5,No,,,,
Toyota Venza 2011 Black,"₦ 6,500,000,",₦ 6.2 M ~ 6.5 M,"Lagos, Ogba",https://pictures-nigeria.jijistatic.com/116873619_NjIwLTUzMi0yM2JlZGYyMTFh.webp,https://pictures-nigeria.jijistatic.com/116873619_MTExLTk1LTIzYmVkZjIxMWE.webp | https://pictures-nigeria.jijistatic.com/116873618_MTExLTk2LTMxY2FlNDY2N2E.webp | https://pictures-nigeria.jijistatic.com/116873623_MTExLTk2LTdlOGYxZTdkYTk.webp | https://pictures-nigeria.jijistatic.com/116873621_MTExLTk5LTE1ZTkwNTRjMGY.webp | https://pictures-nigeria.jijistatic.com/116873620_MTExLTkyLWQzZmQ0NzU2Mzg.webp,Automatic,Air Conditioning | CD Player | Airbags,Uti cars,https://jiji.ng/ogba/cars/toyota-venza-2011-black-phpUhEyx5Y3NPYIditCrq1QW.html,"No faults, Original parts",Toyota,Venza,2011,,,,,,,Black,,Yes,Yes,,,
