Name,Price,Market price,Location,Thumbnail,Images,Gear,Odometer,Fuel type,Car condition,Other features,Dealer name,Page link,Second Condition,Make,Model,Year of Manufacture,Color,Registered Car,Trim,Body,Drivetrain,Engine Size,Number of Cylinders,Horse Power,Seats,Exchange Possible,VIN Chassis number
Toyota RAV4 2008 Blue,"₦ 3,000,000,",₦ 3.35 M ~ 3.62 M,"Anambra, Awka",https://pictures-nigeria.jijistatic.com/116963927_NjIwLTgyNy0zY2FmYWY3NDkw.webp,https://pictures-nigeria.jijistatic.com/116963927_MTExLTE0OC0zY2FmYWY3NDkw.webp | https://pictures-nigeria.jijistatic.com/116963928_MTExLTE0OC0zYmNlNzRhYzEx.webp | https://pictures-nigeria.jijistatic.com/116963950_MTExLTE0OC02OGUxODUxZTk1.webp | https://pictures-nigeria.jijistatic.com/116963951_MTExLTE0OC0xMDYyYjQ5ZDU2.webp | https://pictures-nigeria.jijistatic.com/116963954_MTExLTgzLTcyOTM4YjAyMjE.webp,Automatic,,,Nigerian Used,,Dominic Chisom,https://jiji.ng/awka-south/cars/toyota-rav4-2008-blue-alrJIIPyLA0JrTplcBLMjlq3.html,No faults,Toyota,RAV4,2008,Blue,Yes,,,,,,,,,
Mercedes-Benz E350 2010 Black,"₦ 7,000,000,",₦ 7.5 M ~ 8.41 M,"Abuja, Central Business District",https://pictures-nigeria.jijistatic.com/115901430_NjIwLTQ2NS0xMDcyYjA3ODIz.webp,https://pictures-nigeria.jijistatic.com/115901430_MTExLTgzLTEwNzJiMDc4MjM.webp | https://pictures-nigeria.jijistatic.com/115901439_MTExLTgzLWZiNDk4YWY5ZDY.webp | https://pictures-nigeria.jijistatic.com/115901448_MTExLTgzLTA4ZGZjYWU0YmE.webp | https://pictures-nigeria.jijistatic.com/115901456_MTExLTgzLTJkZDBlYWE4M2Y.webp | https://pictures-nigeria.jijistatic.com/115901457_MTExLTgzLTQ2ODkzZmY0OTE.webp,Automatic,105000 km,Petrol,Foreign Used,,Doubleking Premium Auto Ltd,https://jiji.ng/central-business-district/cars/mercedes-benz-e350-2010-black-lh0rbSaRurNQlXtTD8kGM2X.html,No faults,Mercedes-Benz,E350,2010,Black,Yes,Base 4Matic Sedan AWD (3.5L 6cyl 7A),Sedan,All Wheel,3500           cc,6,268           hp,5,,
Toyota Corolla 2012 Red,"₦ 2,750,000,",₦ 3.5 M ~ 3.65 M,"Akwa Ibom, Uyo",https://pictures-nigeria.jijistatic.com/117055127_NjIwLTU3Mi04ZWU3ZGNhMjFj.webp,https://pictures-nigeria.jijistatic.com/117055127_MTExLTEwMi04ZWU3ZGNhMjFj.webp | https://pictures-nigeria.jijistatic.com/117057190_MTExLTE0OC00OTE0NzJlNTI2.webp | https://pictures-nigeria.jijistatic.com/117057185_MTExLTE0OC0zZWIwNjI5ZDhk.webp | https://pictures-nigeria.jijistatic.com/117057186_MTExLTE0OC1kNTQ3YWYzNTIy.webp | https://pictures-nigeria.jijistatic.com/117057183_MTExLTE0OC1hOWRiODkwMDEy.webp,Automatic,100000 km,,Nigerian Used,Anti-Lock Brakes | Air Conditioning | Android Auto | Cruise Control | CD Player | AM/FM Radio,Beejay Beejayltd,https://jiji.ng/uyo/cars/toyota-corolla-2012-red-XWCHI5n8lgfTyvPmwadKT33.html,"First owner, First registration, No faults",Toyota,Corolla,2012,Red,Yes,,,,,,,,Yes,
Mercedes-Benz GLE43 2018 White,"₦ 37,000,000",₦ 43.05 M ~ 47.43 M,"Lagos, Apapa",https://pictures-nigeria.jijistatic.com/117143193_NjIwLTQ2NS0zNGJjMGY2M2Yy.webp,https://pictures-nigeria.jijistatic.com/117143193_MTExLTgzLTM0YmMwZjYzZjI.webp | https://pictures-nigeria.jijistatic.com/117143189_MTExLTgzLTgwOGE3OTViOTA.webp | https://pictures-nigeria.jijistatic.com/117143190_MTExLTgzLTVkODY4YTc0MDg.webp | https://pictures-nigeria.jijistatic.com/117143191_MTExLTgzLThhYzk2ZDE4NDE.webp | https://pictures-nigeria.jijistatic.com/117143192_MTExLTgzLTZjOWQ5ODZkM2E.webp,Automatic,,,Foreign Used,,Seun,https://jiji.ng/apapa/cars/mercedes-benz-gle43-2018-white-bx68nof2ek7hSM46o2otdFOI.html,No faults,Mercedes-Benz,GLE43,2018,White,,,,,,,,,,
Toyota Highlander V6 4x4 2005 Black,"₦ 4,200,000",₦ 3.51 M ~ 3.84 M,"Lagos, Abule Egba",https://pictures-nigeria.jijistatic.com/108200168_NjIwLTQ2NS01ZDMzNWU4ZWY3.webp,https://pictures-nigeria.jijistatic.com/108200168_MTExLTgzLTVkMzM1ZThlZjc.webp | https://pictures-nigeria.jijistatic.com/108200164_MTExLTgzLTEwODc5NjZiYTY.webp | https://pictures-nigeria.jijistatic.com/108200157_MTExLTgzLTA0MDA2NWE1N2I.webp | https://pictures-nigeria.jijistatic.com/108200161_MTExLTgzLWFkMjVlZTIyZjI.webp | https://pictures-nigeria.jijistatic.com/108200162_MTExLTgzLTAyOTdhYmY2ZDM.webp,Automatic,,Petrol,Nigerian Used,,Mateco motor ventures,https://jiji.ng/lagos-abule-egba/cars/toyota-highlander-v6-4x4-2005-black-sE489k59FC3HuwYmkfgTBpYo.html,No faults,Toyota,Highlander,2005,Black,,V6 4x4,SUV,All Wheel,3300           cc,6,233           hp,7,,
Toyota RAV4 2015 Red,"₦ 10,550,000,",₦ 10.78 M ~ 11.65 M,"Lagos, Ogba",https://pictures-nigeria.jijistatic.com/116970684_NjIwLTQ2NS1jNThhYWJmODU1.webp,https://pictures-nigeria.jijistatic.com/116970684_MTExLTgzLWM1OGFhYmY4NTU.webp | https://pictures-nigeria.jijistatic.com/116970675_MTExLTgzLTg2NDY0YWM1ZGY.webp | https://pictures-nigeria.jijistatic.com/116970673_MTExLTgzLWVkOGE4ZTU3MGI.webp | https://pictures-nigeria.jijistatic.com/116970674_MTExLTgzLWU5YjRhMzEzMDg.webp | https://pictures-nigeria.jijistatic.com/116970676_MTExLTgzLWNjNDRiYmM2Yzg.webp,Automatic,122000 km,Petrol,Foreign Used,Airbags | Front Fog Lamps | Air Conditioning | Alloy Wheels | AM/FM Radio | Anti-Lock Brakes | CarPlay | CD Player | CD Player | Cup Holders | Leather Seats | Armrests | Air Conditioning | Alloy Wheels | Cruise Control | Roof Rack | Airbags | Electric Windows | Electric Mirrors | AM/FM Radio,Adorable Auto Motors,https://jiji.ng/ogba/cars/toyota-rav4-2015-red-v4Sr2SkVFlJmNQB4GXtOAppN.html,"Unpainted, Original parts, No faults",Toyota,RAV4,2015,Red,No,XLE 4dr SUV (2.5L 4cyl 6A),SUV,Front Wheel,2500           cc,4,,5,,
Mercedes-Benz C300 2012 White,"₦ 7,700,000,",₦ 6.8 M ~ 7.24 M,"Lagos, Abule Egba",https://pictures-nigeria.jijistatic.com/116239691_NjIwLTgyOC0zYzQ4ODRmYmNh.webp,https://pictures-nigeria.jijistatic.com/116239691_MTExLTE0OC0zYzQ4ODRmYmNh.webp | https://pictures-nigeria.jijistatic.com/116239705_MTExLTgzLTEyMDM1ZGNjMjA.webp | https://pictures-nigeria.jijistatic.com/116239694_MTExLTgzLTk0YzM4ODVmOTA.webp | https://pictures-nigeria.jijistatic.com/116239695_MTExLTgzLWQxNWFjMTFjM2Y.webp | https://pictures-nigeria.jijistatic.com/116239696_MTExLTgzLTJmNTczYWIxZmY.webp,Automatic,,Petrol,Foreign Used,Air Conditioning | AM/FM Radio | CD Player | Alloy Wheels | Airbags,Ahmad Oyemomi,https://jiji.ng/lagos-abule-egba/cars/mercedes-benz-c300-2012-white-s1Pro3eCehbakSRBrkvGi9wD.html,"No faults, Unpainted, Original parts",Mercedes-Benz,C300,2012,White,No,Luxury 4Matic Sedan AWD (3.0L 6cyl 7A),Sedan,All Wheel,3000           cc,6,228           hp,5,,
Toyota Corolla 2004 White,"₦ 1,850,000,",₦ 2.23 M ~ 2.4 M,"Lagos, Ajah",https://pictures-nigeria.jijistatic.com/117192009_NjIwLTQ2NS05ZmUxYzY2MDM4.webp,https://pictures-nigeria.jijistatic.com/117192009_MTExLTgzLTlmZTFjNjYwMzg.webp | https://pictures-nigeria.jijistatic.com/117192014_MTExLTgzLWVmOTNmYzQ4NDA.webp | https://pictures-nigeria.jijistatic.com/117192019_MTExLTgzLTNjNGE5ZjExNjE.webp | https://pictures-nigeria.jijistatic.com/117192027_MTExLTgzLTA2NjBiZmI4MDY.webp | https://pictures-nigeria.jijistatic.com/117192029_MTExLTgzLTg1ZGE3YTQ4NjI.webp,Automatic,,,Nigerian Used,,Mercy Dirisu,https://jiji.ng/ajah/cars/toyota-corolla-2004-white-A5eXrZXZzDUeogYL08FZvjWN.html,"No faults, Original parts",Toyota,Corolla,2004,White,Yes,,,,,,,,,
Lexus ES 350 FWD 2013 Blue,"₦ 11,500,000",₦ 11.2 M ~ 12 M,"Lagos, Magodo",https://pictures-nigeria.jijistatic.com/112220374_NjIwLTQ2NS1jZDllZWNlNTg2.webp,https://pictures-nigeria.jijistatic.com/112220374_MTExLTgzLWNkOWVlY2U1ODY.webp | https://pictures-nigeria.jijistatic.com/112220367_MTExLTgzLTUxMGI5MTk1NDk.webp | https://pictures-nigeria.jijistatic.com/112220368_MTExLTgzLTMwMGExYTExMTk.webp | https://pictures-nigeria.jijistatic.com/112220370_MTExLTgzLTk0MjVhMDljZDQ.webp | https://pictures-nigeria.jijistatic.com/112220371_MTExLTE0OC0yZGZhZDZlNWM5.webp,Automatic,113891 km,Petrol,Foreign Used,,Megastone Autos,https://jiji.ng/magodo/cars/lexus-es-350-fwd-2013-blue-uVpnMMCxbK0wUDXUrroWSnfw.html,No faults,Lexus,ES,2013,Blue,No,350 FWD,Sedan,Front Wheel,3500           cc,6,268           hp,5,,
Infiniti JX 2013 Black,"₦ 6,800,000",,"Lagos, Ojodu",https://pictures-nigeria.jijistatic.com/117224993_NjIwLTQ2NS01M2M5OWExZGM2.webp,https://pictures-nigeria.jijistatic.com/117224993_MTExLTgzLTUzYzk5YTFkYzY.webp | https://pictures-nigeria.jijistatic.com/117224998_MTExLTgzLTkwMmJmZDc0NjE.webp | https://pictures-nigeria.jijistatic.com/117224996_MTExLTgzLTgxZjkxMjQ3MDQ.webp | https://pictures-nigeria.jijistatic.com/117224995_MTExLTgzLTQzMDFmMGE1MGE.webp | https://pictures-nigeria.jijistatic.com/117224991_MTExLTgzLWU4M2MwMzI2M2E.webp,Automatic,,,Nigerian Used,,Mobile Global Autos,https://jiji.ng/ojodu/cars/infiniti-jx-2013-black-bd7tMgkwecfko2q9RGLfxHwz.html,No faults,Infiniti,JX,2013,Black,Yes,,,,,,,,,
