Name,Price,Market price,Location,Thumbnail,Images,Gear,Odometer,Fuel type,Car condition,Other features,Dealer name,Page link,Second Condition,Make,Model,Year of Manufacture,Color,Registered Car,Trim,Body,Drivetrain,Engine Size,Number of Cylinders,Horse Power,Seats,Exchange Possible,VIN Chassis number,Mileage,VIN number
Toyota Sienna 2013 Burgandy,"₦ 8,500,000,",₦ 8.5 M ~ 8.74 M,"Abuja, Gwarinpa",https://pictures-nigeria.jijistatic.com/114399158_NjIwLTQ2NS1hYzkyNDk2YThj.webp,https://pictures-nigeria.jijistatic.com/114399158_MTExLTgzLWFjOTI0OTZhOGM.webp | https://pictures-nigeria.jijistatic.com/114399163_MTExLTgzLTdlMGIzMmYzZGM.webp | https://pictures-nigeria.jijistatic.com/114399142_MTExLTgzLThhYWVlMDVmMTU.webp | https://pictures-nigeria.jijistatic.com/114399129_MTExLTgzLTA2OWI3NDMwNzg.webp | https://pictures-nigeria.jijistatic.com/114399153_MTExLTgzLTYyN2ZmMmE5NWU.webp,Automatic,,,Foreign Used,Air Conditioning | AM/FM Radio | CD Player | Alloy Wheels | Airbags | Android Auto | Anti-Lock Brakes | Armrests | Cruise Control | Cup Holders | Electric Mirrors | Electric Windows | Leather Seats,Leo Jas,https://jiji.ng/gwarinpa/cars/toyota-sienna-2013-burgandy-l1ntJvwSS4L5X94MU2MH40cT.html,No faults,Toyota,Sienna,2013,Burgandy,No,,,,,,,,,,,
Lexus RX 350 AWD 2015 Red,"₦ 14,000,000",₦ 14.5 M ~ 14.95 M,"Lagos, Ikeja",https://pictures-nigeria.jijistatic.com/106120510_NjIwLTgyOC0zYzgzNDI3ZGFm.webp,https://pictures-nigeria.jijistatic.com/106120510_MTExLTE0OC0zYzgzNDI3ZGFm.webp | https://pictures-nigeria.jijistatic.com/106120518_MTExLTgzLTYwYmUzOTE2NzA.webp | https://pictures-nigeria.jijistatic.com/106120529_MTExLTE0OC03YTQwMzI5Mjdk.webp | https://pictures-nigeria.jijistatic.com/106120528_MTExLTE0OC1hZjdjZWQ1MGU0.webp | https://pictures-nigeria.jijistatic.com/106120541_MTExLTE0OC1iZGFjZjNiYjkw.webp,Automatic,,Petrol,Foreign Used,,Loykapd International,https://jiji.ng/ikeja/cars/lexus-rx-350-awd-2015-red-wxPH85tdAnvCBuFODBV35Vg1.html,No faults,Lexus,RX,2015,Red,No,350 AWD,SUV,All Wheel,3500           cc,6,270           hp,5,,,,
Land Rover Range Rover Velar 2020 Black,"₦ 38,000,000,",₦ 48 M ~ 53.25 M,"Abuja, Central Business District",https://pictures-nigeria.jijistatic.com/115805431_NjIwLTQ2NS05NzUxZTc0OGFl.webp,https://pictures-nigeria.jijistatic.com/115805431_MTExLTgzLTk3NTFlNzQ4YWU.webp | https://pictures-nigeria.jijistatic.com/115805429_MTExLTgzLWJkZjgzY2UzYmQ.webp | https://pictures-nigeria.jijistatic.com/115805432_MTExLTgzLTkzNTZkMzdjZjI.webp | https://pictures-nigeria.jijistatic.com/115805428_MTExLTgzLTBjMDc4ZjBhZTI.webp | https://pictures-nigeria.jijistatic.com/115805430_MTExLTgzLTEzODNiNTQ3YTg.webp,Automatic,,,Foreign Used,,Agbo Kelvin,https://jiji.ng/central-business-district/cars/land-rover-range-rover-velar-2020-black-rnlbHh3U7UVZhODJPxE7LUjE.html,No faults,Land Rover,Range Rover Velar,2020,Black,No,,,,,,,,Yes,,,
Toyota Highlander XLE 2021 Red,"₦ 28,000,000",₦ 40.93 M ~ 43.86 M,"Lagos, Amuwo-Odofin",https://pictures-nigeria.jijistatic.com/115297375_NjIwLTQ2NS1jZWUyMzY5ZWQ4.webp,https://pictures-nigeria.jijistatic.com/115297375_MTExLTgzLWNlZTIzNjllZDg.webp | https://pictures-nigeria.jijistatic.com/115297376_MTExLTgzLTNiMTU0NDU5Yjk.webp | https://pictures-nigeria.jijistatic.com/115297373_MTExLTgzLWUxYWJlNGFhZTY.webp | https://pictures-nigeria.jijistatic.com/115297377_MTExLTgzLWNkYTQ2ZGJlYjM.webp | https://pictures-nigeria.jijistatic.com/115297372_MTExLTgzLTI3ODY0MWExYmE.webp,Automatic,33157 km,Petrol,Foreign Used,,Victor Dike,https://jiji.ng/amuwo-odofin/cars/toyota-highlander-xle-2021-red-CoPfnBVutXGMNSUHl0wKhBk.html,No faults,Toyota,Highlander,2021,Red,No,XLE,SUV,Front Wheel,3500           cc,6,295           hp,8,,,,
Toyota Hilux 2018 Black,"₦ 28,000,000",₦ 28.25 M ~ 30.25 M,"Lagos, Ojodu",https://pictures-nigeria.jijistatic.com/115766565_NjIwLTYxOS02MzYxODk5YjA4.webp,https://pictures-nigeria.jijistatic.com/115766565_MTExLTExMS02MzYxODk5YjA4.webp | https://pictures-nigeria.jijistatic.com/115766559_MTExLTExMS0yMGM4ZjRkYmRk.webp | https://pictures-nigeria.jijistatic.com/115766564_MTExLTExMC0wYzhjMjVkODcz.webp | https://pictures-nigeria.jijistatic.com/115766562_MTExLTExMC0zZDgwZjBmY2Rk.webp | https://pictures-nigeria.jijistatic.com/115766561_MTExLTExMC0xY2ViNWU5ZGYx.webp,Automatic,,,Foreign Used,,Rosemary Autos,https://jiji.ng/ojodu/cars/toyota-hilux-2018-black-8gRzrsAF6OVQXDYt6z7Iochg.html,No faults,Toyota,Hilux,2018,Black,,,,,,,,,,,,
Toyota Camry 2005 Black,"₦ 1,900,000,",₦ 2.15 M ~ 2.32 M,"Lagos, Surulere",https://pictures-nigeria.jijistatic.com/117219396_NjIwLTQ2NS1lZTViNDY3Njk5.webp,https://pictures-nigeria.jijistatic.com/117219396_MTExLTgzLWVlNWI0Njc2OTk.webp | https://pictures-nigeria.jijistatic.com/117219402_MTExLTgzLTVjODc1OGIzMjg.webp | https://pictures-nigeria.jijistatic.com/117219395_MTExLTgzLWJlOTIyNTM5YmY.webp | https://pictures-nigeria.jijistatic.com/117219390_MTExLTgzLWNkNGQ5YWRlNGY.webp | https://pictures-nigeria.jijistatic.com/117219388_MTExLTgzLTg4ZjhmNzMwYmI.webp,Automatic,102000 km,Petrol,Nigerian Used,,Emmanuel Obiora,https://jiji.ng/surulere/cars/toyota-camry-2005-black-aDEptiwpS7qQrV2b5301rKHm.html,No faults,Toyota,Camry,2005,Black,Yes,LE 4dr Sedan (2.4L 4cyl 5A),Sedan,Front,2400           cc,4,160           hp,5,,,,
Land Rover Range Rover Velar P380 R-Dynamic HSE 4x4 2020 White,"₦ 60,000,000,",₦ 53.45 M ~ 55.3 M,"Abuja, Wuse",https://pictures-nigeria.jijistatic.com/116114114_NjIwLTc3NS1iMzNjYjk5NThl.webp,https://pictures-nigeria.jijistatic.com/116114114_MTExLTEzOS1iMzNjYjk5NThl.webp | https://pictures-nigeria.jijistatic.com/116114115_MTExLTEzOS0wMDUyYjFmZjIy.webp | https://pictures-nigeria.jijistatic.com/116114124_MTExLTEzOS01YWEwN2M4OWJh.webp | https://pictures-nigeria.jijistatic.com/116114119_MTExLTEzOS0xNjQ4NDNjNzlh.webp | https://pictures-nigeria.jijistatic.com/116114123_MTExLTEzOS1iYTgzZTJlYzlk.webp,Automatic,,,Foreign Used,,Mr.versatile,https://jiji.ng/wuse/cars/land-rover-range-rover-velar-p380-r-dynamic-hse-4x4-2020-white-k18dYBRouzsOZjVJIXUeSXGh.html,No faults,Land Rover,Range Rover Velar,2020,White,No,P380 R-Dynamic HSE 4x4,,,,,,,,,,
Mercedes-Benz CLA-Class 2015 Gray,"₦ 16,000,000",₦ 12.5 M ~ 13 M,"Abuja, Gwarinpa",https://pictures-nigeria.jijistatic.com/117169536_NjIwLTgyNy0zMDBiMzYzYzM1.webp,https://pictures-nigeria.jijistatic.com/117169536_MTExLTE0OC0zMDBiMzYzYzM1.webp | https://pictures-nigeria.jijistatic.com/117169517_MTExLTE0OC02MjVhZTI4Y2U3.webp | https://pictures-nigeria.jijistatic.com/117169516_MTExLTE0OC1jNGYxMmYyYzRj.webp | https://pictures-nigeria.jijistatic.com/117169518_MTExLTE0OC1jNjRiN2ZiOTFm.webp | https://pictures-nigeria.jijistatic.com/117169519_MTExLTE0OC05NDU4NWMxYjEw.webp,Automatic,52000 km,Petrol,Foreign Used,Blind Spot Monitor | Parking Sensors | Cup Holders | Air Conditioning | Android Auto | Airbags | Electric Mirrors | Parking Assist | Alloy Wheels | LED Headlights | CD Player | Cruise Control | AM/FM Radio | Armrests | Electric Windows | Leather Seats | Front Fog Lamps | CarPlay,Ernest Onoja,https://jiji.ng/gwarinpa/cars/mercedes-benz-cla-class-2015-gray-1FPQewk7CTi7sTQ00l02oSip.html,No faults,Mercedes-Benz,CLA-Class,2015,Gray,No,CLA250 4MATIC 4dr Sedan AWD (2.0L 4cyl Turbo 7AM),Sedan,All Wheel,2000           cc,4,208           hp,,,,,
Lexus RX 2010 White,"₦ 8,100,000,",₦ 7.8 M ~ 8 M,"Lagos, Ogba",https://pictures-nigeria.jijistatic.com/116843544_NjIwLTQ0Ny03OWYwYTJjM2Nl.webp,https://pictures-nigeria.jijistatic.com/116843544_MTExLTgwLTc5ZjBhMmMzY2U.webp | https://pictures-nigeria.jijistatic.com/116843547_MTExLTc4LTMzOWQ2YjliMTU.webp | https://pictures-nigeria.jijistatic.com/116843545_MTExLTc3LTAwZGI4MTgyYmE.webp | https://pictures-nigeria.jijistatic.com/116843556_MTExLTk4LWZkYTRlZjI0MzY.webp | https://pictures-nigeria.jijistatic.com/116843552_MTExLTkyLThkNDgzZDk3Y2Q.webp,Automatic,,,Nigerian Used,,Thrift0’clock Autos,https://jiji.ng/ogba/cars/lexus-rx-2010-white-rouX6mTRUGzynGDyXlAywHZY.html,"No faults, Original parts, Unpainted",Lexus,RX,2010,White,Yes,,,,,,,,,,,
Toyota Highlander 2014 Brown,"₦ 8,600,000,",₦ 11.48 M ~ 12.52 M,"Lagos, Surulere",https://pictures-nigeria.jijistatic.com/117214344_NjIwLTQ2NS1iZjBkODlmZTBl.webp,https://pictures-nigeria.jijistatic.com/117214344_MTExLTgzLWJmMGQ4OWZlMGU.webp | https://pictures-nigeria.jijistatic.com/117214346_MTExLTgzLWE4NTllNzMyNzE.webp | https://pictures-nigeria.jijistatic.com/117214348_MTExLTE0OC0zMWYxYTc4NWIy.webp | https://pictures-nigeria.jijistatic.com/117214347_MTExLTgzLTAxNDNhZjc5MGU.webp | https://pictures-nigeria.jijistatic.com/117214409_MTExLTgzLWViNzg1NGU3ZjM.webp,Automatic,,Petrol,Nigerian Used,Alloy Wheels | Air Conditioning | AM/FM Radio | Airbags,AAA Automobiles,https://jiji.ng/surulere/cars/toyota-highlander-2014-brown-BxdNCVjQv2S0y4LtCiRkOLsq.html,"Engine issue, No faults, First owner",Toyota,Highlander,2014,Brown,Yes,Limited Platinum 4dr SUV AWD (3.5L 6cyl 6A),SUV,All Wheel,3500           cc,6,270           hp,7,Yes,,,
