Name,Price,Market price,Location,Thumbnail,Images,Gear,Odometer,Fuel type,Car condition,Other features,Dealer name,Page link,Second Condition,Make,Model,Year of Manufacture,Trim,Body,Drivetrain,Engine Size,Number of Cylinders,Horse Power,Color,Seats,Registered Car,Exchange Possible,VIN Chassis number,VIN number,Mileage
Toyota Highlander Limited 2008 Gold,"₦ 9,200,000,",₦ 8.45 M ~ 8.72 M,"Lagos, Amuwo-Odofin",https://pictures-nigeria.jijistatic.com/116852365_NjIwLTQ2NS03MzVlMjVhOGZh.webp,https://pictures-nigeria.jijistatic.com/116852365_MTExLTgzLTczNWUyNWE4ZmE.webp | https://pictures-nigeria.jijistatic.com/116852312_MTExLTgzLWIyZjk3MTU2N2U.webp | https://pictures-nigeria.jijistatic.com/116852330_MTExLTE0OC0zZGRmZTk2NTYw.webp | https://pictures-nigeria.jijistatic.com/116852331_MTExLTgzLTM1MTdiYTJlYzk.webp | https://pictures-nigeria.jijistatic.com/116852332_MTExLTgzLTUzZDU3OTA0Nzg.webp,Automatic,72000 km,Petrol,Foreign Used,,Wheelers Automobiles,https://jiji.ng/amuwo-odofin/cars/toyota-highlander-limited-2008-gold-rOGyvcsy1parLoQlgoFbeJRc.html,"No faults, Unpainted",Toyota,Highlander,2008,Limited,SUV,Front Wheel,3500           cc,6,275           hp,Gold,7,No,,,,
Mercedes-Benz M Class ML 350 4Matic 2011 White,"₦ 7,900,000",₦ 8 M ~ 8.68 M,"Lagos, Amuwo-Odofin",https://pictures-nigeria.jijistatic.com/113998706_NjIwLTQ2NS01YzUxYWRmODhi.webp,https://pictures-nigeria.jijistatic.com/113998706_MTExLTgzLTVjNTFhZGY4OGI.webp | https://pictures-nigeria.jijistatic.com/113998701_MTExLTgzLTNhMDM2YzdkOWY.webp | https://pictures-nigeria.jijistatic.com/113998707_MTExLTgzLTUwMmVmMmY5ODA.webp | https://pictures-nigeria.jijistatic.com/113998708_MTExLTgzLWVhZDg0OGQyOGU.webp | https://pictures-nigeria.jijistatic.com/113998700_MTExLTgzLTQxYzUxMjRmZDY.webp,Automatic,,Petrol,Foreign Used,,Ifeanyi Raymond,https://jiji.ng/amuwo-odofin/cars/mercedes-benz-m-class-ml-350-4matic-2011-white-5Ogia0x7yMmbsKPGeVZFEamP.html,No faults,Mercedes-Benz,M Class,2011,ML 350 4Matic,SUV,All Wheel,3500           cc,6,268           hp,White,5,No,Yes,,,
Lexus RX 350 2009 Silver,"₦ 5,150,000",₦ 4.65 M ~ 4.98 M,"Rivers, Port-Harcourt",https://pictures-nigeria.jijistatic.com/113127761_NjIwLTQ2NS1lNjYwMWNjNjNk.webp,https://pictures-nigeria.jijistatic.com/113127761_MTExLTgzLWU2NjAxY2M2M2Q.webp | https://pictures-nigeria.jijistatic.com/113127759_MTExLTgzLTllZjlmOTU2ODk.webp | https://pictures-nigeria.jijistatic.com/113127774_MTExLTgzLTk2OTEwNTdhZTQ.webp | https://pictures-nigeria.jijistatic.com/113127760_MTExLTgzLWNhZDNlMTQzNWU.webp | https://pictures-nigeria.jijistatic.com/113127763_MTExLTgzLTUxZDBjMGE4ZWI.webp,Automatic,159426 km,,Nigerian Used,,Ikechukwu N Ewexx,https://jiji.ng/port-harcourt/cars/lexus-rx-350-2009-silver-yZmEjXQRVG5AQhr1JxupECUH.html,"First owner, First registration, No faults",Lexus,RX 350,2009,,,,,,,Silver,,Yes,,,,
Toyota Corolla 2010 Gold,"₦ 4,800,000,",₦ 4.7 M ~ 4.9 M,"Osun, Osogbo",https://pictures-nigeria.jijistatic.com/116531382_NjIwLTQ2NS0zMGJkM2ZmN2Mz.webp,https://pictures-nigeria.jijistatic.com/116531382_MTExLTgzLTMwYmQzZmY3YzM.webp | https://pictures-nigeria.jijistatic.com/116531390_MTExLTE0OC0zY2I2MTgzZDQy.webp | https://pictures-nigeria.jijistatic.com/116531394_MTExLTgzLTRiMmMwMjI0ZjM.webp | https://pictures-nigeria.jijistatic.com/116531395_MTExLTgzLWI3ZTJkMjg5ZWU.webp | https://pictures-nigeria.jijistatic.com/116531407_MTExLTgzLWUwNmY0NzA2NTg.webp,Automatic,,,Foreign Used,,Akintola Olumide timothy,https://jiji.ng/osogbo/cars/toyota-corolla-2010-gold-OYceLIEVmNfqd7KwlW72TMp.html,No faults,Toyota,Corolla,2010,,,,,,,Gold,,No,,,,
Toyota Venza Limited AWD V6 2013 Red,"₦ 14,500,000",₦ 12.68 M ~ 13.32 M,"Abuja, Jabi",https://pictures-nigeria.jijistatic.com/107846668_NjIwLTgyNy1mYWIyMjU5Yzcz.webp,https://pictures-nigeria.jijistatic.com/107846668_MTExLTE0OC1mYWIyMjU5Yzcz.webp | https://pictures-nigeria.jijistatic.com/97185577_MTExLTE0OC1kZTlkYzhhMWY2LTE.webp | https://pictures-nigeria.jijistatic.com/107934339_MTExLTE0OC05MWQ4MjQwNGJm.webp | https://pictures-nigeria.jijistatic.com/107934340_MTExLTE0OC04NjRjY2QxNDc0.webp | https://pictures-nigeria.jijistatic.com/97185620_MTExLTE0OC0zYzdjZDE3ZjBjLTE.webp,Automatic,,Petrol,Foreign Used,,Kingstel Autos,https://jiji.ng/jabi/cars/toyota-venza-limited-awd-v6-2013-red-unx2t2hTd0R2M0uhBxU5yORt.html,"No faults, Unpainted, Original parts",Toyota,Venza,2013,Limited AWD V6,Crossover,All Wheel,3500           cc,6,268           hp,Red,5,No,,,,
Lexus RX 350L 4WD 2020 Black,"₦ 37,000,000",₦ 34.25 M ~ 36.02 M,"Abuja, Gwarinpa",https://pictures-nigeria.jijistatic.com/83553961_NjIwLTQ2NS01NTdmZThmMzUy.webp,https://pictures-nigeria.jijistatic.com/83553961_MTExLTgzLTU1N2ZlOGYzNTI.webp | https://pictures-nigeria.jijistatic.com/83553946_MTExLTE0OC1iYmRhYWMwMjVk.webp | https://pictures-nigeria.jijistatic.com/83553958_MTExLTgzLTU4MjViZjk5MjA.webp | https://pictures-nigeria.jijistatic.com/83553959_MTExLTgzLWYzMTM2M2ZhZDE.webp | https://pictures-nigeria.jijistatic.com/83553967_MTExLTE0OC0zYjA5MzU1OTVm.webp,Automatic,9490 km,Petrol,Foreign Used,,Ernest Onoja,https://jiji.ng/gwarinpa/cars/lexus-rx-350l-4wd-2020-black-7rpinAjiYONxlQ5wU2OU8K8e.html,No faults,Lexus,RX,2020,350L 4WD,SUV,All Wheel,3500           cc,6,295           hp,Black,7,No,,,,
Acura MDX 2005 Gray,"₦ 1,650,000",₦ 1.79 M ~ 1.97 M,"Lagos, Ikorodu",https://pictures-nigeria.jijistatic.com/117344926_NjIwLTQxMi1lZTNjNTAyMGU4.webp,https://pictures-nigeria.jijistatic.com/117344926_MTExLTc0LWVlM2M1MDIwZTg.webp | https://pictures-nigeria.jijistatic.com/117344923_MTExLTk1LWEzYzg3NTQwMzk.webp | https://pictures-nigeria.jijistatic.com/117344927_MTExLTcxLWQ5N2EzNzM5NjA.webp | https://pictures-nigeria.jijistatic.com/117344924_MTExLTk4LTRiZWVlZTMyOGM.webp | https://pictures-nigeria.jijistatic.com/117344928_MTExLTk3LWVhZjE2ZDFlNDM.webp,Automatic,142000 km,Petrol,Nigerian Used,Air Conditioning | AM/FM Radio | CD Player | Alloy Wheels | Airbags,Aspot investment ltd,https://jiji.ng/ikorodu/cars/acura-mdx-2005-gray-2WcKw1pJHHXP9cbewX4b9nh1.html,No faults,Acura,MDX,2005,Premium 4dr SUV AWD (3.5L 6cyl 5A),SUV,All Wheel,3500           cc,6,265           hp,Gray,7,Yes,,,,
Mercedes-Benz GLE-Class 2017 Black,"₦ 20,500,000",₦ 25 M ~ 26.89 M,"Lagos, Ikotun/Igando",https://pictures-nigeria.jijistatic.com/116933702_NjIwLTQ2NS1lMWQ5N2FlYmZj.webp,https://pictures-nigeria.jijistatic.com/116933702_MTExLTgzLWUxZDk3YWViZmM.webp | https://pictures-nigeria.jijistatic.com/116933700_MTExLTgyLTIxNGQ2NWU4YmM.webp | https://pictures-nigeria.jijistatic.com/116933699_MTExLTg3LTE1ZmYwM2ViYWY.webp | https://pictures-nigeria.jijistatic.com/116933704_MTExLTgwLTI1NjQ3OTY2NTU.webp | https://pictures-nigeria.jijistatic.com/116933695_MTExLTgwLThhMDk2OWQyNWQ.webp,Automatic,,,Foreign Used,,Prince Darrel,https://jiji.ng/igando-ikotun/cars/mercedes-benz-gle-class-2017-black-17ihvkYbjZeVydspTF9j1V0R.html,"Original parts, No faults",Mercedes-Benz,GLE-Class,2017,"GLE350 4Matic Sport Utility 4-Door (3.5L, 6cyl Turbo)",,,3500           cc,6,,Black,,,,,,
Toyota RAV4 2015 Black,"₦ 7,900,000,",₦ 7.36 M ~ 7.84 M,"Lagos, Agege",https://pictures-nigeria.jijistatic.com/117321128_NjIwLTUxNi0wYjc1NDkzOTA0.webp,https://pictures-nigeria.jijistatic.com/117321128_MTExLTkyLTBiNzU0OTM5MDQ.webp | https://pictures-nigeria.jijistatic.com/117321130_MTExLTgzLWIzZGI5NjZmMjM.webp | https://pictures-nigeria.jijistatic.com/117321129_MTExLTg5LTI0YWI1OGViYTg.webp | https://pictures-nigeria.jijistatic.com/117321127_MTExLTg3LTFjZmJhM2I1NTc.webp | https://pictures-nigeria.jijistatic.com/117321132_MTExLTk2LTNiNjM3MWNhZDI.webp,Automatic,,,Nigerian Used,,ALFA autos,https://jiji.ng/agege/cars/toyota-rav4-2015-black-nmMN44cymWnSwrj4IrH5CqvT.html,No faults,Toyota,RAV4,2015,Limited 4dr SUV (2.5L 4cyl 6A),,,,,,Black,,Yes,,,,
Mercedes-Benz G-Class G 63 AMG 4MATIC 2020 Gray,"₦ 210,000,000",₦ 194.4 M ~ 200.3 M,"Abuja, Jabi",https://pictures-nigeria.jijistatic.com/102017430_NjIwLTQ2NS1hNzY3YTQ0YWNh.webp,https://pictures-nigeria.jijistatic.com/102017430_MTExLTgzLWE3NjdhNDRhY2E.webp | https://pictures-nigeria.jijistatic.com/102017389_MTExLTgzLTk0NDE3NmZmYzg.webp | https://pictures-nigeria.jijistatic.com/102017392_MTExLTgzLWIwNGZmNWE5ODE.webp | https://pictures-nigeria.jijistatic.com/102017395_MTExLTgzLTg2MmNlODJkNmQ.webp | https://pictures-nigeria.jijistatic.com/102017420_MTExLTgzLTVhZmI0NjgwMjc.webp,Automatic,,Petrol,Foreign Used,,Henry Magege,https://jiji.ng/jabi/cars/mercedes-benz-g-class-g-63-amg-4matic-2020-gray-zQrOTFyMUVyCXwgNTX4BnLVw.html,No faults,Mercedes-Benz,G-Class,2020,G 63 AMG 4MATIC,SUV,All Wheel,4000           cc,8,585           hp,Gray,5,No,No,,,
